lat,lngitude,name,count
29.64824,-82.31786,SE 7th St./SE 4th Ave.,0
28.80215,-81.72475,Main St./Disston Ave./Lake Dora Dr.,0
34.43384,-103.1783,Hwy 245  Llano Estacado Blvd. /Norris St.,0
39.64809,-77.15468,MD 140/MD 832/Antrim Blvd.,0
32.96138,-96.82592,Mildred St./Quorum Dr.,0
44.26283,-72.57178,Main St./Spring St.  Keck Circle ,0
27.31842,-82.57722,St. Armands Circle  SR 780/Blvd. of the Presidents/John Ringling Blvd. ,0
27.30536,-82.51414,South Gate Circle  Tuttle Ave./Siesta Dr. ,0
26.15619,-81.79971,7th St. N./7th Ave. N.,0
26.15712,-81.79419,7th St. N./11th Ave. N.,0
26.15732,-81.79282,7th St. N./12th Ave. N.,0
26.0105,-80.1836,Hollywood Blvd./Rainbow Dr.,0
26.13267,-81.79491,8th St. S./12th Ave. S.,0
37.67642,-120.9338,Chandon Dr./Calero Dr.,0
37.6747,-121.0026,Bowen Ave./Fremont Ave.,0
27.1986,-80.253,N. Colorado Ave./E. Osceola St.,1
39.62828,-106.4212,Chamonix Rd./I-70 WB Ramps/North Frontage Rd.,0
39.62753,-106.4202,Chamonix Rd./I-70 EB Ramps/South Frontage Rd.,0
39.63683,-106.5217,Avon Rd./I-70 EB Ramps,0
39.63528,-106.5222,Avon Rd./Beaver Creek Blvd.,0
39.63425,-106.5222,Avon Rd./Benchmark Rd.,0
39.6311,-106.5226,Avon Rd./US 6,0
39.96261,-105.5103,SH 72/SH 119/2nd St./Bridge St.,0
28.05466,-82.46759,North Blvd./Country Club Dr.,0
36.08215,-80.24149,Salem Rd./Old Salem Rd./S. Main St.,0
33.49474,-111.9433,N. 64th St./E. Lafayette Blvd.,0
29.47094,-98.49162,Olmos Dr./El Prado Dr./McCullough Ave.,0
43.17309,-73.06181,Rte. 7A/Equinox  Grand Union ,0
38.9763,-76.50486,MD 450  West St. /Taylor Ave./Spa Rd.  Gateway Circle ,0
34.4207,-119.6781,Milpas St./US 101 NB Ramps/Carpinteria St.,0
34.73999,-112.0374,AZ 89A/Verde Heights Dr.,0
44.01805,-88.58098,CTH E  Witzel Ave. /Koeller St.,0
33.13229,-117.3166,Legoland Dr./Armada Dr.,0
33.37649,-111.9721,S. Pointe Pkwy. W/S. Pointe Pkwy. E,0
33.61361,-84.83688,SR 5/SR 166,0
39.07955,-76.5456,Arundel Beach Rd./Leelyn Dr.,0
39.31433,-77.62807,MD 17/A St./B St./Maryland Ave.,0
44.4305,-88.11402,Scheuring Rd.  CTH F /US 41 SB Ramps,0
39.25733,-76.71964,MD 372/Hilltop Rd./Entrance to UMBC,0
39.3481,-77.0693,MD 94/Old Frederick Rd.  Lisbon North ,0
33.92703,-84.63775,W. Sandtown Rd./Villa Rica Rd.,0
37.28605,-107.8471,Jenkins Ranch Rd./Lizard Head  south ,0
37.2892,-107.8431,Jenkins Ranch Rd./Lizard Head  north ,0
39.2247,-76.806,MD 104  Waterloo Rd. /MD 100 WB Ramps,0
38.68938,-75.78949,MD 307/MD 313/MD 318,0
45.5085,-122.6494,SE Ladd Circle,0
44.57259,-93.50546,SH 13  Langford Ave. /CR 2  260th St. ,0
38.93647,-76.96074,US 1/34th St./Perry St.,0
41.11395,-81.66791,Ridgewood Rd./Hametown Rd.,0
33.787,-84.329,N. Decatur Rd./Lullwater Rd.,0
37.28321,-107.8512,Jenkins Ranch Rd./Ophir Dr.,0
34.60927,-111.8613,Middle Verde/Cliff Castle,0
44.44511,-88.09367,Grant St.  CTH EE /Lawrence Dr.,0
39.3251,-120.192,Donner Pass Rd./W. River St./McIver Crossing,0
37.29216,-107.8401,Jenkins Ranch Rd./Kennebec Dr.,0
